sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
金門,金門縣,38,,良好,0.5,0.22,39.6,41.7,6,3,4.3,4.5,0.2,2.3,36,"2024-10-08 04:00",,0.2,6.3,10,0,118.312256,24.432133,77
馬祖,連江縣,41,,良好,0.2,0.19,46.4,44.4,8,0,2.2,2.6,0.4,2.4,359,"2024-10-08 04:00",,0.1,4,10,0,119.952724,26.153736,75
埔里,南投縣,38,,良好,0.8,0.16,30.8,26.7,7,6,1.4,2,0.6,0.3,35,"2024-10-08 04:00",,0.2,11.7,14,0,120.967903,23.968842,72
復興,高雄市,33,,良好,0.5,0.21,16.9,21.9,19,10,9.8,10.4,0.6,1.4,88,"2024-10-08 04:00",,0.2,10.1,18,1,120.312017,22.608711,71
永和,新北市,30,,良好,0.7,0.12,30.4,32.9,2,0,3.5,3.8,0.2,0.7,107,"2024-10-08 04:00",,0.1,2.7,5,0,121.516306,25.017,70
竹山,南投縣,29,,良好,0.3,0.09,21.1,27.4,14,6,1.7,2.3,0.5,1.2,91,"2024-10-08 04:00",,0.1,9,15,0,120.677306,23.756389,69
中壢,桃園市,21,,良好,,0.2,23.4,23.5,6,2,8.2,9.6,1.3,0.5,12,"2024-10-08 04:00",,0.3,4.2,9,1,121.221667,24.953278,68
三重,新北市,25,,良好,0,0.27,20.3,18.1,8,6,15.6,24.2,8.5,-,-,"2024-10-08 04:00",,0.5,5.7,8,0,121.493806,25.072611,67
冬山,宜蘭縣,39,,良好,0.5,0.11,35.3,42.2,10,0,2.1,2.7,0.5,1.3,300,"2024-10-08 04:00",,0.1,2,13,0,121.792928,24.632203,66
宜蘭,宜蘭縣,28,,良好,1.1,0.08,23.1,30.8,10,0,1.2,1.5,0.3,1.2,298,"2024-10-08 04:00",,0.1,1.2,11,0,121.746394,24.747917,65
陽明,臺北市,32,,良好,0.2,0.11,37.5,35.5,3,0,0.9,1.3,0.4,1.2,20,"2024-10-08 04:00",,0.1,0.6,3,0,121.529583,25.182722,64
花蓮,花蓮縣,17,,良好,1.1,0.21,6.5,15.1,16,0,6.2,7.2,1,1.2,270,"2024-10-08 04:00",,0.1,1.6,17,0,121.599769,23.971306,63
臺東,臺東縣,12,,良好,0.9,0.06,13.1,13.2,7,4,1.1,1.5,0.3,1.2,311,"2024-10-08 04:00",,0,2.7,9,1,121.15045,22.755358,62
恆春,屏東縣,19,,良好,0.4,0.06,17.8,21.5,9,5,0.8,1.4,0.5,3.3,13,"2024-10-08 04:00",,0,3.6,10,1,120.788928,21.958069,61
潮州,屏東縣,30,,良好,0.2,0.15,5.6,11.0,17,8,2.4,2.6,0.1,0.5,62,"2024-10-08 04:00",,0.1,9.1,19,0,120.561175,22.523108,60
屏東,屏東縣,20,,良好,0.6,0.17,15.2,18.9,16,4,3.8,4.6,0.8,0.7,37,"2024-10-08 04:00",,0.2,6.1,18,0,120.488033,22.673081,59
小港,高雄市,47,,良好,2.1,0.2,16.4,19.9,13,18,9.1,10.1,0.9,1.3,72,"2024-10-08 04:00",,0.2,14.4,18,1,120.337736,22.565833,58
前鎮,高雄市,33,,良好,0.6,0.29,15.7,21.2,29,10,9.8,10.5,0.6,0.3,158,"2024-10-08 04:00",,0.3,10.2,24,1,120.30833356,22.6044507,57
前金,高雄市,31,,良好,0.8,0.2,21.8,27.4,29,11,6.7,7.3,0.6,0,0,"2024-10-08 04:00",,0.1,9.4,31,0,120.28676111,22.63390278,56
左營,高雄市,36,,良好,0.9,0.25,14.7,18.7,30,10,10.1,11.1,1,0.2,238,"2024-10-08 04:00",,0.2,11.2,24,1,120.292917,22.674861,54
楠梓,高雄市,32,,良好,0.5,0.24,4.3,11.9,27,11,17,19.4,2.4,1.4,41,"2024-10-08 04:00",,0.2,9.8,25,0,120.328289,22.733667,53
林園,高雄市,35,,良好,0,0.22,12.6,20.6,24,12,5.2,5.6,0.4,1.3,358,"2024-10-08 04:00",,0.2,10.7,21,,120.41175,22.4795,52
大寮,高雄市,18,,良好,1.7,0.19,8.2,,25,16,11.4,11.9,0.5,1.1,71,"2024-10-08 04:00",,0.1,,,,120.425311,22.56413611,51
鳳山,高雄市,41,,良好,0.3,0.24,18.7,22.1,22,8,7.7,8.4,0.6,0.3,122,"2024-10-08 04:00",,0.3,12.7,21,0,120.357422,22.628126,50
仁武,高雄市,38,,良好,1.8,0.21,20.9,21.2,19,12,6.8,8.1,1.2,1.2,90,"2024-10-08 04:00",,0.2,11.7,20,0,120.332631,22.689056,49
橋頭,高雄市,26,,良好,1.4,0.19,8.8,16.5,16,7,,,,0.9,27,"2024-10-08 04:00",,0.1,8.1,15,1,120.305689,22.757506,48
美濃,高雄市,18,,良好,0.5,0.18,11.6,17.4,19,4,2.1,2.7,0.6,0.3,68,"2024-10-08 04:00",,0.1,3.8,18,0,120.530542,22.883583,47
臺南,臺南市,28,,良好,0.6,0.2,10.1,21.8,21,10,17.9,18.5,0.6,1.3,4,"2024-10-08 04:00",,0.1,6.5,20,0,120.21947897,22.98928311,46
安南,臺南市,33,,良好,1.2,0.19,13.1,17.8,21,10,8.7,8.7,0,1.4,3,"2024-10-08 04:00",,0.2,10.2,19,0,120.2175,23.048197,45
善化,臺南市,32,,良好,1.4,0.12,15.2,18.2,12,12,4.5,5.6,1,0.6,55,"2024-10-08 04:00",,0.1,9.8,13,1,120.29740529,23.11337642,44
新營,臺南市,27,,良好,1.1,0.18,14,22.0,21,7,10,12.1,2.1,1.1,9,"2024-10-08 04:00",,0.1,8.3,12,1,120.31725,23.305633,43
嘉義,嘉義市,20,,良好,4.5,0.14,15.6,22.6,22,12,7.3,7.6,0.2,1.4,99,"2024-10-08 04:00",,0.1,5,13,1,120.44125148,23.46477865,42
臺西,雲林縣,27,,良好,1,0.23,9.7,22.2,19,6,10.3,10.9,0.5,2.5,30,"2024-10-08 04:00",,0.1,7.5,27,1,120.19933333,23.702175,41
朴子,嘉義縣,33,,良好,1.1,0.26,10,16.7,21,6,9.6,10.6,1,0.6,340,"2024-10-08 04:00",,0.2,10.1,27,0,120.2478,23.46538,40
新港,嘉義縣,20,,良好,1.7,0.16,15.3,22.8,18,5,7.5,8.8,1.2,0.6,358,"2024-10-08 04:00",,0.1,6.1,19,2,120.345531,23.554839,39
崙背,雲林縣,26,,良好,1.2,0.15,10.3,17.1,17,4,5.4,6,0.6,0.8,7,"2024-10-08 04:00",,0.2,8,20,1,120.348742,23.757547,38
斗六,雲林縣,29,,良好,0.8,0.05,19.9,26.7,9,9,5.3,6.5,1.2,1.8,109,"2024-10-08 04:00",,0.1,9,13,1,120.544994,23.711853,37
南投,南投縣,34,,良好,0.7,0.09,30.6,25.6,9,6,1.5,1.8,0.3,0.3,152,"2024-10-08 04:00",,0.1,10.5,16,0,120.685306,23.913,36
二林,彰化縣,18,,良好,1,0.14,17.6,19.9,9,6,4.9,5.5,0.5,1.5,18,"2024-10-08 04:00",,0.1,5.4,16,3,120.409653,23.925175,35
線西,彰化縣,22,,良好,0.7,0.14,24,25.0,,5,7.5,8.4,0.9,4.6,41,"2024-10-08 04:00",,0.1,5,,1,120.469061,24.131672,34
彰化,彰化縣,17,,良好,0.4,0.11,9.3,12.8,11,2,10.6,11.2,0.6,1.9,33,"2024-10-08 04:00",,0.1,3.7,11,1,120.541519,24.066,33
西屯,臺中市,16,,良好,1,0.1,19.7,17.4,10,5,5.1,6,0.9,2.3,9,"2024-10-08 04:00",,0.1,4,11,0,120.616917,24.162197,32
忠明,臺中市,13,,良好,0.6,0.14,14.5,11.7,9,3,7.2,7.9,0.7,1.9,38,"2024-10-08 04:00",,0.1,4.1,9,0,120.641092,24.151958,31
大里,臺中市,22,,良好,0.9,0.16,10.6,8.5,9,7,9.9,11.7,1.8,0.9,328,"2024-10-08 04:00",,0.2,6.7,11,1,120.67844444,24.09961111,30
沙鹿,臺中市,19,,良好,0.9,0.12,23.2,20.7,7,2,4.6,5.3,0.6,2.6,13,"2024-10-08 04:00",,0.1,5.1,10,0,120.568794,24.225628,29
豐原,臺中市,10,,良好,0.9,0.15,14.1,11.0,9,0,2.6,3.3,0.7,1.2,8,"2024-10-08 04:00",,0.1,1.6,10,0,120.74252414,24.25699731,28
三義,苗栗縣,16,,良好,0.7,0.12,20.3,17.6,7,1,3.3,4.4,1,3.5,18,"2024-10-08 04:00",,0.1,2.9,8,1,120.75956754,24.38248443,27
苗栗,苗栗縣,22,,良好,1.5,0.09,27.6,24.3,5,5,2.9,3.8,0.9,1.9,18,"2024-10-08 04:00",,0.1,3.1,7,1,120.82011468,24.56499183,26
頭份,苗栗縣,22,,良好,0.8,0.16,26.1,24.1,13,6,8.7,10.2,1.4,1.8,37,"2024-10-08 04:00",,0.1,5,12,1,120.89869286,24.69690679,25
新竹,新竹市,26,,良好,1.4,0.16,29.3,28.3,4,0,6.6,7.2,0.6,2.5,34,"2024-10-08 04:00",,0.1,1.9,4,1,120.97236752,24.8056356,24
竹東,新竹縣,24,,良好,0,0.1,29.1,26.3,0,0,1.2,2,0.7,1,48,"2024-10-08 04:00",,0.1,0.7,2,0,121.08895493,24.74091408,23
湖口,新竹縣,30,,良好,0.3,0.11,35.4,32.9,2,6,2.9,3.3,0.4,3.1,29,"2024-10-08 04:00",,0.1,4.5,5,0,121.03886894,24.90009696,22
龍潭,桃園市,28,,良好,0.8,0.11,31.2,30.5,8,1,3.1,3.7,0.5,4.2,45,"2024-10-08 04:00",,0.1,3.2,9,0,121.21645772,24.86400048,21
