sitename,address,city,dist,lat,lon
中油八德加油站,桃園市八德區竹園里長興路556號(近長興路/竹園路交叉口),桃園市,八德區,24.9329496,121.2711953
和義一停車場站,桃園市八德區和平路(近和平路/和義一街口),桃園市,八德區,24.9579402,121.3098752
台亞八德交流道加油站,桃園市八德區和平路863號(近和平路/和強路口),桃園市,八德區,24.9595276,121.3193018
忠勇停車場站,桃園市八德區忠勇一街與忠勇六街交叉口(近君臨休閒廣場),桃園市,八德區,24.965619,121.3054468
7-ELEVEN 勇伯店站,桃園市八德區東勇北路380號(近東勇路/忠勇街424巷交叉口),桃園市,八德區,24.9695156,121.306608
中油東勇加油站,桃園市八德區東勇街246號(近桃55鄉道東勇街口),桃園市,八德區,24.9627376,121.3068979
全家八德櫻花店站,桃園市八德區長安街375號(近興豐路/長安街交叉口),桃園市,八德區,24.9491003,121.3193968
全家八德仁興店站,桃園市八德區建國路241號(近建國路/仁德一路交叉口),桃園市,八德區,24.9366876,121.2881516
米格國際站,桃園市八德區建國路626號(近米格國際股份有限公司門口),桃園市,八德區,24.9465726,121.2894289
HiLife 八德桃尊店站,桃園市八德區建國路871號(建國路/新興路交叉口),桃園市,八德區,24.9528106,121.2909672
大和段停車場站,桃園市八德區建國路與文昌街交叉口(近文昌休閒公園),桃園市,八德區,24.9559113,121.2941741
中油茄苳加油站,桃園市八德區茄苳里中華路575號(近中華路/永豐路交叉口),桃園市,八德區,24.9771755,121.2697071
廣豐二停車場站,桃園市八德區桃德路與廣豐二街交叉口(近廣豐新天地),桃園市,八德區,24.9657828,121.2945556
全聯八德大湳店站,桃園市八德區福國北街79號(近福國北街/中路街口),桃園市,八德區,24.9611423,121.2942638
全家八德德富店站,桃園市八德區廣福路805號(近廣福路/永豐路交叉口),桃園市,八德區,24.9604387,121.278842
全聯八德興豐店站,桃園市八德區興豐路392、396、398號(近興豐路/建興街42巷口),桃園市,八德區,24.9294307,121.2888197
全家大園都心店站,桃園市大園區中山北路31號。(近中山北路/大觀路交叉口),桃園市,大園區,25.0647575,121.1969418
7-ELEVEN 鐵鎮店站,桃園市大園區中正東路二段428號,桃園市,大園區,25.0274468,121.2302039
7-ELEVEN 江園店站,桃園市大園區中正東路三段620號(近中壢大江購物中心),桃園市,大園區,25.0044169,121.228549
7-ELEVEN 濱海店站,桃園市大園區竹圍里五鄰竹圍街45-3號(近竹圍街/竹圍街44巷路口),桃園市,大園區,25.1046496,121.2432291
全聯大園和平店站,桃園市大園區和平東路65號(近和平東路與和平二街路口),桃園市,大園區,25.0618435,121.1998459
全聯大園菓林店站,桃園市大園區菓林路69號(近菓林路/菓林路59巷口),桃園市,大園區,25.0753988,121.2583766
HiLife 桃縣桃正店站,桃園市大園區華興路323號(近華興路/和平西路交叉口),桃園市,大園區,25.0566378,121.1957985
全聯大園華興店站,桃園市大園區華興路36號(近華興路/大觀路交叉口),桃園市,大園區,25.0641802,121.1930465
中華電信大園服務中心站,桃園市大園區新興路42號(近新興路與文中街口),桃園市,大園區,25.064001,121.194278
全家大園田心店站,桃園市大園區新興路85號(近新興路/大興路交叉口),桃園市,大園區,25.0628147,121.1949249
HiLife 桃縣大介店站,桃園市大溪區介壽路568號(近介壽路/介壽路566巷交叉口),桃園市,大溪區,24.9103953,121.2878337
全聯大溪文化店站,桃園市大溪區文化路67號(近文化路/文化路75巷交岔口),桃園市,大溪區,24.8817333,121.2935659
全聯大溪員林店站,桃園市大溪區員林路一段5號(近介壽路/員林路口),桃園市,大溪區,24.8983802,121.2834914
7-ELEVEN 仁善店站,桃園市大溪區埔頂路二段183號(近埔頂路二段/仁善街交岔口),桃園市,大溪區,24.9106291,121.2795088
台亞石門水庫加油站,桃園市大溪區康莊路三段80號(近康莊路三段/內柵路一段口),桃園市,大溪區,24.8597353,121.2823736
中油慈湖加油站,桃園市大溪區復興路一段970號(近復興路一段/慈康路口),桃園市,大溪區,24.8464971,121.2849162
全聯大溪中正店站,桃園市大溪區慈湖路66號(近華南銀行大溪分行),桃園市,大溪區,24.8823343,121.2888071
中油大溪加油站,桃園市大溪區瑞安路一段268號(近大溪橋),桃園市,大溪區,24.8857535,121.2793898
僑愛平面停車場站,桃園市大溪區僑愛一街46巷口(近區僑愛一街46巷/介壽路交岔口),桃園市,大溪區,24.9215958,121.2940842
銀河廣場地下停車場B1F站,桃園市中壢區九和一街35號(地下一樓機車停車場入口處旁)(近遠東SOGO中壢店),桃園市,中壢區,24.9624547,121.2236192
